user_id,name,signup_date,engagement_type,converted_to_paid,preferred_topic
U0225,User1224,2026-01-14,one_time,True,Marriage
U0226,User1225,2025-07-12,occasional,False,Career
U0227,User1226,2025-11-28,one_time,False,Finance
U0228,User1227,2025-09-21,one_time,True,Marriage
U0229,User1228,2026-03-26,occasional,True,General Vedic
U0230,User1229,2025-12-28,loyal,True,Family
U0231,User1230,2026-02-28,loyal,True,Career
U0232,User1231,2026-02-28,occasional,False,Health
U0233,User1232,2025-08-02,loyal,True,Health
U0234,User1233,2026-01-26,occasional,True,Health
U0235,User1234,2026-02-26,one_time,True,Career
U0236,User1235,2026-04-25,one_time,False,Career
U0237,User1236,2025-10-06,occasional,True,Health
U0238,User1237,2025-09-10,loyal,True,Career
U0239,User1238,2025-12-13,one_time,False,Marriage
U0240,User1239,2025-10-09,occasional,True,Career
U0241,User1240,2025-11-08,one_time,True,Career
U0242,User1241,2025-10-04,one_time,False,General Vedic
U0243,User1242,2025-07-16,one_time,False,Health
U0244,User1243,2025-11-06,loyal,True,Relationship
U0245,User1244,2025-07-30,occasional,True,Finance
U0246,User1245,2026-03-10,loyal,True,Career
U0247,User1246,2026-02-10,occasional,True,Family
U0248,User1247,2026-01-02,loyal,True,Relationship
U0249,User1248,2026-04-22,occasional,True,Career
U0250,User1249,2026-03-01,one_time,False,Finance
U0251,User1250,2025-09-04,one_time,False,General Vedic
U0252,User1251,2025-08-18,one_time,False,Career
U0253,User1252,2026-06-07,occasional,True,Marriage
U0254,User1253,2026-04-05,one_time,False,Relationship
U0255,User1254,2026-03-25,one_time,True,Finance
U0256,User1255,2026-05-29,one_time,False,Career
U0257,User1256,2026-05-30,one_time,True,Health
U0258,User1257,2026-05-08,occasional,True,General Vedic
U0259,User1258,2026-04-06,one_time,False,Finance
U0260,User1259,2026-01-31,loyal,False,Marriage
U0261,User1260,2026-03-10,occasional,True,Finance
U0262,User1261,2025-07-21,one_time,True,Career
U0263,User1262,2026-06-06,loyal,True,Marriage
U0264,User1263,2025-11-28,occasional,False,Relationship
U0265,User1264,2026-03-16,one_time,False,Finance
U0266,User1265,2026-01-14,occasional,True,Relationship
U0267,User1266,2026-03-05,one_time,False,Career
U0268,User1267,2026-04-21,occasional,True,Health
U0269,User1268,2026-04-16,loyal,True,General Vedic
U0270,User1269,2025-11-25,one_time,False,Career
U0271,User1270,2025-08-02,one_time,True,Family
U0272,User1271,2025-10-28,loyal,True,Career
U0273,User1272,2025-08-02,loyal,True,Finance
U0274,User1273,2026-02-24,one_time,False,Marriage
U0275,User1274,2026-03-27,occasional,False,Career
U0276,User1275,2025-07-23,occasional,True,Career
U0277,User1276,2025-12-27,loyal,False,Finance
U0278,User1277,2026-01-04,occasional,True,Career
U0279,User1278,2026-04-02,loyal,True,Health
U0280,User1279,2025-09-05,one_time,False,Family
U0281,User1280,2025-11-15,one_time,False,Career
U0282,User1281,2025-11-01,occasional,True,Career
U0283,User1282,2025-12-31,one_time,False,Relationship
U0284,User1283,2026-02-19,loyal,True,Finance
U0285,User1284,2025-08-20,loyal,True,Career
U0286,User1285,2025-11-13,occasional,False,Career
U0287,User1286,2025-12-13,occasional,True,General Vedic
U0288,User1287,2026-03-06,loyal,True,Career
U0289,User1288,2026-05-24,occasional,True,Marriage
U0290,User1289,2025-08-09,one_time,True,Career
U0291,User1290,2026-04-10,one_time,False,Family
U0292,User1291,2025-07-24,loyal,True,General Vedic
U0293,User1292,2025-08-07,one_time,False,General Vedic
U0294,User1293,2025-09-19,loyal,True,Marriage
U0295,User1294,2026-03-13,one_time,True,Career
U0296,User1295,2026-02-14,occasional,False,Finance
U0297,User1296,2026-03-01,one_time,False,Career
U0298,User1297,2026-04-24,occasional,False,Relationship
U0299,User1298,2026-02-16,one_time,True,Finance
U0300,User1299,2026-04-25,loyal,True,Career
U0301,User1300,2025-08-27,loyal,False,Relationship
U0302,User1301,2025-11-18,one_time,False,General Vedic
U0303,User1302,2026-02-26,one_time,True,Relationship
U0304,User1303,2025-09-27,occasional,True,Relationship
U0305,User1304,2025-08-14,occasional,True,Career
U0306,User1305,2026-04-20,occasional,True,Marriage
U0307,User1306,2026-05-14,loyal,True,Career
U0308,User1307,2026-01-02,occasional,True,Career
U0309,User1308,2026-06-11,loyal,True,Career
U0310,User1309,2026-01-08,loyal,True,Marriage
U0311,User1310,2026-04-12,occasional,True,Finance
U0312,User1311,2025-08-29,occasional,True,Marriage
U0313,User1312,2026-02-11,loyal,True,Career
U0314,User1313,2025-12-27,occasional,True,Finance
U0315,User1314,2026-04-01,occasional,True,General Vedic
U0316,User1315,2025-08-16,one_time,True,Marriage
U0317,User1316,2025-10-12,loyal,True,Relationship
U0318,User1317,2025-10-01,occasional,True,Relationship
U0319,User1318,2025-10-19,one_time,True,Marriage
U0320,User1319,2025-12-11,loyal,True,Marriage
U0321,User1320,2026-03-14,loyal,True,Marriage
U0322,User1321,2026-03-27,one_time,False,Relationship
U0323,User1322,2026-02-12,one_time,True,Relationship
U0324,User1323,2026-05-03,one_time,False,Marriage
U0325,User1324,2026-06-08,occasional,True,General Vedic
U0326,User1325,2025-08-26,loyal,True,Career
U0327,User1326,2025-12-01,one_time,False,Finance
U0328,User1327,2026-01-05,occasional,True,Relationship
U0329,User1328,2026-05-24,loyal,True,General Vedic
U0330,User1329,2025-09-01,one_time,True,Finance
U0331,User1330,2026-01-21,loyal,True,Career
U0332,User1331,2026-02-19,one_time,False,Relationship
U0333,User1332,2026-06-15,loyal,True,Health
U0334,User1333,2025-10-28,one_time,True,Finance
U0335,User1334,2026-01-25,loyal,False,Relationship
U0336,User1335,2026-03-29,occasional,True,Family
U0337,User1336,2025-12-02,occasional,True,Career
U0338,User1337,2026-02-08,occasional,True,Career
U0339,User1338,2025-10-12,occasional,True,Family
U0340,User1339,2025-09-14,one_time,True,Relationship
U0341,User1340,2025-10-08,occasional,True,General Vedic
U0342,User1341,2025-08-27,one_time,False,Relationship
U0343,User1342,2026-05-18,occasional,True,Career
U0344,User1343,2025-10-03,one_time,True,Health
U0345,User1344,2025-12-15,loyal,True,Relationship
U0346,User1345,2025-09-17,one_time,False,Relationship
U0347,User1346,2025-11-14,loyal,True,Finance
U0348,User1347,2026-02-01,loyal,True,Health
U0349,User1348,2026-05-23,loyal,True,Relationship
U0350,User1349,2026-03-31,occasional,True,Health
U0351,User1350,2026-05-11,loyal,True,Marriage
U0352,User1351,2025-10-12,occasional,True,Relationship
U0353,User1352,2025-07-16,one_time,False,Finance
U0354,User1353,2026-03-27,one_time,False,Relationship
U0355,User1354,2026-03-10,occasional,True,Health
U0356,User1355,2025-10-29,loyal,True,General Vedic
U0357,User1356,2026-02-16,one_time,False,Career
U0358,User1357,2025-11-12,one_time,True,Health
U0359,User1358,2025-11-21,one_time,True,Family
U0360,User1359,2025-07-18,one_time,False,Health
U0361,User1360,2026-01-13,one_time,False,Marriage
U0362,User1361,2026-04-03,one_time,False,Career
U0363,User1362,2026-01-26,one_time,False,Relationship
U0364,User1363,2025-07-30,loyal,True,Marriage
U0365,User1364,2025-09-18,occasional,True,General Vedic
U0366,User1365,2026-03-25,occasional,True,Marriage
U0367,User1366,2026-05-06,occasional,True,General Vedic
U0368,User1367,2026-01-15,loyal,True,Career
U0369,User1368,2026-04-20,loyal,True,Career
U0370,User1369,2025-08-14,one_time,True,Career
U0371,User1370,2026-05-18,loyal,True,Finance
U0372,User1371,2026-05-22,occasional,False,Finance
U0373,User1372,2025-08-01,occasional,True,Marriage
U0374,User1373,2025-10-17,one_time,True,Career
U0375,User1374,2025-09-18,one_time,False,Health
U0376,User1375,2025-09-03,one_time,True,Career
U0377,User1376,2025-11-07,occasional,True,Relationship
U0378,User1377,2025-08-11,occasional,True,Finance
U0379,User1378,2026-02-25,one_time,False,Career
U0380,User1379,2025-10-24,occasional,True,Relationship
U0381,User1380,2025-09-06,occasional,False,Marriage
U0382,User1381,2025-10-07,occasional,False,Marriage
U0383,User1382,2025-11-10,occasional,True,Marriage
U0384,User1383,2025-11-24,occasional,True,Marriage
U0385,User1384,2025-12-24,loyal,True,Career
U0386,User1385,2026-01-14,one_time,False,Family
U0387,User1386,2026-04-04,one_time,False,Career
U0388,User1387,2025-12-05,occasional,True,Relationship
U0389,User1388,2026-04-25,occasional,True,Family
U0390,User1389,2026-03-30,loyal,True,Relationship
U0391,User1390,2025-10-28,one_time,False,General Vedic
U0392,User1391,2026-03-19,occasional,False,General Vedic
U0393,User1392,2026-02-08,one_time,True,Marriage
U0394,User1393,2025-12-19,loyal,True,Health
U0395,User1394,2026-06-04,one_time,False,Marriage
U0396,User1395,2026-02-27,occasional,True,Relationship
U0397,User1396,2025-12-19,one_time,False,Marriage
U0398,User1397,2026-05-04,one_time,False,Career
U0399,User1398,2026-05-09,one_time,True,Career
U0400,User1399,2026-04-17,one_time,True,Health
U0401,User1400,2025-12-22,one_time,False,Career
U0402,User1401,2025-11-22,loyal,True,Career
U0403,User1402,2026-02-22,loyal,True,Finance
U0404,User1403,2025-12-12,occasional,False,Marriage
U0405,User1404,2025-08-07,one_time,True,Career
U0406,User1405,2026-01-05,one_time,True,Marriage
U0407,User1406,2026-03-24,occasional,False,Family
U0408,User1407,2025-11-21,one_time,False,Relationship
U0409,User1408,2025-08-26,one_time,False,Career
U0410,User1409,2026-04-01,loyal,True,General Vedic
U0411,User1410,2026-03-05,one_time,True,Family
U0412,User1411,2025-08-06,loyal,False,Finance
U0413,User1412,2026-05-25,one_time,False,Relationship
U0414,User1413,2025-09-01,occasional,True,Career
U0415,User1414,2026-04-15,occasional,True,Relationship
U0416,User1415,2025-09-01,loyal,True,Career
U0417,User1416,2025-10-12,one_time,False,Career
U0418,User1417,2026-01-10,loyal,True,Relationship
U0419,User1418,2026-01-05,occasional,True,General Vedic
U0420,User1419,2025-08-05,one_time,False,Relationship
U0421,User1420,2026-01-26,one_time,True,Relationship
U0422,User1421,2026-01-06,loyal,True,Marriage
U0423,User1422,2026-03-23,loyal,True,Marriage
U0424,User1423,2025-11-07,one_time,False,Career
U0425,User1424,2026-01-13,one_time,False,Marriage
U0426,User1425,2026-04-30,one_time,False,Relationship
U0427,User1426,2025-10-01,occasional,True,Marriage
U0428,User1427,2026-05-11,one_time,False,Marriage
U0429,User1428,2026-04-28,occasional,True,Marriage
U0430,User1429,2026-06-09,one_time,False,Career
U0431,User1430,2026-03-24,occasional,False,Finance
U0432,User1431,2025-09-30,loyal,True,Marriage
U0433,User1432,2025-12-16,occasional,False,Career
U0434,User1433,2026-04-28,occasional,True,Marriage
U0435,User1434,2026-03-10,loyal,False,Relationship
U0436,User1435,2026-01-06,occasional,True,General Vedic
U0437,User1436,2025-07-16,occasional,True,Health
U0438,User1437,2025-07-21,occasional,False,Relationship
U0439,User1438,2025-08-10,occasional,True,Career
U0440,User1439,2025-07-19,one_time,False,Career
U0441,User1440,2026-02-10,occasional,True,Family
U0442,User1441,2026-03-19,occasional,False,Finance
U0443,User1442,2026-06-02,one_time,True,Marriage
U0444,User1443,2025-08-14,one_time,False,Career
U0445,User1444,2025-08-12,loyal,True,Family
U0446,User1445,2025-08-02,loyal,True,Marriage
U0447,User1446,2025-09-24,occasional,True,General Vedic
U0448,User1447,2026-04-17,one_time,True,Relationship
U0449,User1448,2025-09-09,one_time,True,Relationship
U0450,User1449,2026-06-05,one_time,True,Career
U0451,User1450,2026-04-01,one_time,False,General Vedic
U0452,User1451,2026-04-09,occasional,True,Family
U0453,User1452,2025-10-10,occasional,True,Family
U0454,User1453,2025-09-02,loyal,True,Career
U0455,User1454,2026-01-16,loyal,True,Career
U0456,User1455,2025-09-28,occasional,True,Health
U0457,User1456,2025-10-04,one_time,True,Marriage
U0458,User1457,2026-03-15,one_time,False,Health
U0459,User1458,2025-08-28,one_time,True,Marriage
U0460,User1459,2025-08-17,one_time,False,Career
U0461,User1460,2025-11-22,one_time,False,Relationship
U0462,User1461,2025-12-06,loyal,False,Health
U0463,User1462,2025-08-05,one_time,False,Finance
U0464,User1463,2025-12-20,one_time,True,Finance
U0465,User1464,2026-03-20,occasional,False,Career
U0466,User1465,2026-05-27,occasional,True,Career
U0467,User1466,2026-03-20,loyal,True,Finance
U0468,User1467,2025-08-16,occasional,True,Career
U0469,User1468,2025-09-30,loyal,True,General Vedic
U0470,User1469,2026-01-13,one_time,False,General Vedic
U0471,User1470,2026-02-26,one_time,False,Career
U0472,User1471,2026-02-16,loyal,True,Career
U0473,User1472,2026-05-08,one_time,False,Career
U0474,User1473,2025-11-06,loyal,True,Career
U0475,User1474,2025-08-01,one_time,True,Career
U0476,User1475,2026-02-11,one_time,False,Career
U0477,User1476,2026-03-04,one_time,True,Marriage
U0478,User1477,2025-11-15,occasional,True,General Vedic
U0479,User1478,2026-05-06,occasional,True,Marriage
U0480,User1479,2025-08-11,occasional,True,Career
U0481,User1480,2026-06-06,occasional,True,Family
U0482,User1481,2026-05-04,loyal,True,Family
U0483,User1482,2025-12-20,loyal,True,Career
U0484,User1483,2025-08-25,loyal,True,Career
U0485,User1484,2025-10-20,one_time,True,General Vedic
U0486,User1485,2025-10-20,occasional,True,General Vedic
U0487,User1486,2025-11-29,occasional,True,Career
U0488,User1487,2025-11-21,occasional,True,Family
U0489,User1488,2026-03-02,loyal,True,Marriage
U0490,User1489,2025-10-02,one_time,False,Finance
U0491,User1490,2025-11-18,loyal,True,Career
U0492,User1491,2025-07-13,one_time,True,Family
U0493,User1492,2025-11-19,occasional,True,Relationship
U0494,User1493,2025-08-08,one_time,False,Career
U0495,User1494,2026-05-02,one_time,False,Relationship
U0496,User1495,2025-12-03,loyal,True,Family
U0497,User1496,2025-09-06,loyal,True,Career
U0498,User1497,2026-02-11,one_time,True,Family
U0499,User1498,2025-07-15,one_time,True,Career
U0500,User1499,2025-08-27,one_time,True,Finance
U0501,User1500,2026-03-12,occasional,True,General Vedic
U0502,User1501,2025-09-19,one_time,True,Marriage
U0503,User1502,2026-05-09,loyal,True,Relationship
U0504,User1503,2025-11-02,one_time,False,Relationship
U0505,User1504,2025-09-29,one_time,True,Health
U0506,User1505,2026-03-23,occasional,True,Health
U0507,User1506,2026-01-19,one_time,True,Family
U0508,User1507,2026-04-26,loyal,True,Career
U0509,User1508,2026-02-20,occasional,True,Finance
U0510,User1509,2025-10-02,loyal,True,Career
U0511,User1510,2025-11-20,occasional,False,General Vedic
U0512,User1511,2025-11-26,loyal,True,Relationship
U0513,User1512,2025-12-17,one_time,False,Relationship
U0514,User1513,2025-08-04,occasional,True,Relationship
U0515,User1514,2026-05-01,occasional,True,Career
U0516,User1515,2026-05-25,occasional,False,Family
U0517,User1516,2026-05-29,one_time,False,Health
U0518,User1517,2025-10-24,occasional,True,Family
U0519,User1518,2026-05-27,loyal,True,Family
U0520,User1519,2025-11-29,loyal,True,Marriage
U0521,User1520,2025-09-05,occasional,True,Finance
U0522,User1521,2025-12-04,occasional,True,Finance
U0523,User1522,2025-09-18,loyal,True,Career
U0524,User1523,2025-11-16,one_time,False,Finance
U0525,User1524,2026-02-01,one_time,False,Health
U0526,User1525,2025-11-27,occasional,True,Marriage
U0527,User1526,2026-06-04,loyal,True,Career
U0528,User1527,2025-10-14,one_time,False,General Vedic
U0529,User1528,2025-07-16,occasional,True,Health
U0530,User1529,2026-03-29,one_time,False,Career
U0531,User1530,2025-08-14,occasional,True,General Vedic
U0532,User1531,2025-07-25,loyal,True,Career
U0533,User1532,2025-10-29,loyal,True,General Vedic
U0534,User1533,2025-12-29,loyal,True,General Vedic
U0535,User1534,2026-05-28,loyal,True,Relationship
U0536,User1535,2025-12-17,one_time,True,Health
U0537,User1536,2026-06-09,one_time,True,Career
U0538,User1537,2026-03-31,occasional,True,General Vedic
U0539,User1538,2025-07-24,one_time,False,Finance
U0540,User1539,2025-08-10,occasional,True,Career
U0541,User1540,2025-08-11,loyal,True,Career
U0542,User1541,2025-11-29,occasional,True,Relationship
U0543,User1542,2026-05-01,one_time,False,Career
U0544,User1543,2025-12-19,one_time,False,Marriage
U0545,User1544,2025-10-02,occasional,True,Career
U0546,User1545,2025-07-28,one_time,True,Finance
U0547,User1546,2026-05-08,occasional,True,Relationship
U0548,User1547,2025-10-06,one_time,False,General Vedic
U0549,User1548,2025-11-05,one_time,False,Finance
U0550,User1549,2025-12-09,occasional,False,Career
U0551,User1550,2026-02-07,loyal,True,Career
U0552,User1551,2026-06-08,one_time,True,Career
U0553,User1552,2026-05-18,occasional,False,Finance
U0554,User1553,2026-01-31,one_time,False,Career
U0555,User1554,2025-08-02,one_time,False,Finance
