consultation_id,user_id,astrologer_id,date,topic,mode,duration_min,amount,call_status,rating_given,is_free_trial
C000062,U0016,A022,2026-08-14 01:46:33.899724,General Vedic,chat,3,76.0,completed,3.0,False
C000063,U0017,A004,2026-03-28 00:00:00.000000,Health,chat,3,0.0,completed,4.0,True
C000064,U0018,A020,2026-06-11 00:00:00.000000,Health,chat,8,0.0,completed,3.0,True
C000065,U0019,A003,2025-08-18 00:00:00.000000,Career,chat,10,0.0,completed,5.0,True
C000066,U0019,A006,2025-10-17 03:36:53.443358,Family,video,8,98.0,completed,4.0,False
C000067,U0019,A026,2026-03-22 20:11:29.391633,Career,chat,9,112.0,completed,4.0,False
C000068,U0020,A016,2026-03-26 00:00:00.000000,Family,audio,4,0.0,completed,3.0,True
C000069,U0020,A030,2026-06-06 02:56:42.416450,Family,audio,8,147.0,completed,4.0,False
C000070,U0021,A016,2026-04-07 00:00:00.000000,Family,chat,12,0.0,completed,4.0,True
C000071,U0021,A027,2026-04-12 12:49:18.718229,Family,audio,11,202.0,completed,4.0,False
C000072,U0021,A027,2026-04-13 12:49:18.718229,Family,chat,3,56.0,completed,4.0,False
C000073,U0021,A027,2026-05-07 11:15:11.997354,Family,audio,8,153.0,completed,4.0,False
C000074,U0021,A027,2026-05-17 13:58:56.420548,Marriage,chat,9,175.0,completed,4.0,False
C000075,U0021,A027,2026-05-30 03:42:52.790502,Marriage,audio,4,79.0,completed,4.0,False
C000076,U0021,A026,2026-06-11 12:01:01.775669,Family,chat,6,81.0,completed,3.0,False
C000077,U0021,A027,2026-06-26 02:26:34.919822,Family,video,10,205.0,completed,3.0,False
C000078,U0021,A027,2026-06-27 02:26:34.919822,Relationship,audio,5,104.0,completed,5.0,False
C000079,U0021,A027,2026-07-11 17:12:15.788518,Family,chat,11,234.0,completed,4.0,False
C000080,U0021,A027,2026-07-26 16:23:02.055020,Marriage,audio,9,194.0,completed,4.0,False
C000081,U0021,A027,2026-08-10 14:20:32.679260,Health,chat,5,110.0,completed,5.0,False
C000082,U0022,A005,2025-08-18 00:00:00.000000,Family,audio,12,0.0,completed,4.0,True
C000083,U0022,A002,2025-09-25 00:04:27.773560,Family,chat,14,314.0,completed,2.0,False
C000084,U0022,A026,2025-11-03 05:10:13.503226,Family,chat,11,137.0,completed,3.0,False
C000085,U0022,A012,2025-11-04 05:10:13.503226,Family,video,22,350.0,dropped,,False
C000086,U0022,A011,2025-12-28 09:06:01.308307,Family,audio,6,162.0,completed,4.0,False
C000087,U0022,A012,2026-02-15 00:24:05.523768,Family,chat,5,82.0,completed,4.0,False
C000088,U0022,A012,2026-03-10 09:42:20.293070,Family,audio,13,218.0,completed,4.0,False
C000089,U0022,A012,2026-05-21 03:34:08.714097,Family,chat,3,51.0,completed,3.0,False
C000090,U0022,A012,2026-05-22 03:34:08.714097,Family,audio,13,226.0,completed,3.0,False
C000091,U0022,A015,2026-05-23 03:34:08.714097,Family,audio,18,467.0,completed,3.0,False
C000092,U0022,A012,2026-06-06 08:19:56.017834,Family,video,14,252.0,completed,3.0,False
C000093,U0022,A012,2026-07-20 16:22:09.136803,Health,video,13,238.0,completed,4.0,False
C000094,U0022,A012,2026-07-31 20:25:54.960725,Family,chat,3,56.0,completed,5.0,False
C000095,U0023,A012,2026-06-18 00:00:00.000000,Health,audio,10,0.0,completed,4.0,True
C000096,U0024,A028,2025-08-02 00:00:00.000000,Health,chat,6,0.0,completed,4.0,True
C000097,U0025,A011,2026-03-21 00:00:00.000000,Marriage,chat,13,0.0,completed,3.0,True
C000098,U0026,A021,2026-03-03 00:00:00.000000,Marriage,chat,4,0.0,completed,4.0,True
C000099,U0027,A008,2025-07-23 00:00:00.000000,Finance,audio,9,0.0,completed,3.0,True
C000100,U0027,A012,2025-09-20 02:23:59.944948,Finance,video,17,260.0,completed,4.0,False
C000101,U0027,A020,2025-11-06 17:45:37.538625,General Vedic,chat,6,112.0,completed,4.0,False
C000102,U0027,A020,2025-11-27 08:33:13.032079,Finance,chat,10,191.0,completed,4.0,False
C000103,U0027,A020,2026-01-11 03:37:58.362889,Finance,chat,16,311.0,completed,3.0,False
C000104,U0027,A020,2026-03-22 03:31:41.933413,Family,audio,8,158.0,completed,3.0,False
C000105,U0027,A026,2026-05-31 18:22:33.847724,Health,video,11,148.0,completed,3.0,False
C000106,U0028,A018,2026-05-12 00:00:00.000000,Family,chat,3,0.0,completed,3.0,True
C000107,U0029,A027,2026-01-20 00:00:00.000000,Relationship,audio,3,0.0,completed,5.0,True
C000108,U0030,A002,2026-05-10 00:00:00.000000,Finance,chat,3,0.0,completed,2.0,True
C000109,U0030,A018,2026-06-25 04:59:34.960534,Relationship,video,3,28.0,completed,3.0,False
C000110,U0030,A018,2026-07-12 19:09:53.105420,Marriage,video,21,197.0,completed,5.0,False
C000111,U0031,A009,2026-01-01 00:00:00.000000,Family,chat,16,0.0,completed,4.0,True
C000112,U0031,A008,2026-01-20 03:14:16.101713,Career,chat,8,122.0,completed,4.0,False
C000113,U0031,A008,2026-01-28 17:30:50.058285,Career,chat,10,156.0,completed,4.0,False
C000114,U0031,A008,2026-03-22 22:05:57.252710,Finance,video,5,80.0,completed,4.0,False
C000115,U0031,A008,2026-03-23 22:05:57.252710,Health,audio,14,227.0,completed,3.0,False
C000116,U0031,A008,2026-04-14 09:40:03.580412,Career,video,12,198.0,completed,4.0,False
C000117,U0031,A020,2026-05-02 19:50:04.590372,Health,chat,8,161.0,completed,4.0,False
C000118,U0031,A008,2026-06-01 00:27:06.130683,Health,chat,3,51.0,completed,3.0,False
C000119,U0031,A008,2026-06-09 05:35:54.630621,General Vedic,audio,8,139.0,completed,4.0,False
C000120,U0031,A008,2026-07-08 02:12:41.504995,Marriage,audio,9,159.0,completed,5.0,False
C000121,U0031,A008,2026-07-22 12:33:08.533424,Career,audio,3,54.0,completed,4.0,False
C000122,U0032,A013,2026-06-10 00:00:00.000000,Finance,chat,9,0.0,completed,3.0,True
C000123,U0033,A029,2025-10-11 00:00:00.000000,Health,audio,14,0.0,completed,3.0,True
C000124,U0033,A022,2025-11-22 01:34:33.633196,Career,chat,12,306.0,completed,5.0,False
C000125,U0033,A009,2026-01-07 18:26:36.775235,Career,video,12,312.0,completed,4.0,False
C000126,U0033,A030,2026-02-18 11:34:24.882355,Career,chat,18,343.0,completed,3.0,False
C000127,U0033,A009,2026-05-29 18:54:37.469746,Career,video,11,297.0,completed,3.0,False
C000128,U0033,A008,2026-06-30 10:21:13.546710,Career,chat,24,396.0,completed,5.0,False
C000129,U0033,A009,2026-08-08 01:59:05.699708,Career,audio,20,560.0,completed,4.0,False
C000130,U0034,A016,2025-09-16 00:00:00.000000,Relationship,audio,14,0.0,completed,4.0,True
C000131,U0035,A009,2025-10-03 00:00:00.000000,General Vedic,audio,7,0.0,completed,4.0,True
C000132,U0035,A007,2025-12-06 21:14:59.461812,Marriage,video,13,332.0,completed,4.0,False
C000133,U0035,A007,2026-03-02 21:52:16.815805,Relationship,chat,11,286.0,completed,3.0,False
C000134,U0035,A004,2026-06-06 03:06:56.684757,General Vedic,chat,17,324.0,completed,4.0,False
C000135,U0035,A014,2026-06-09 20:29:32.881171,Career,chat,10,238.0,completed,4.0,False
C000136,U0035,A028,2026-08-04 14:12:14.401716,Health,video,13,215.0,completed,3.0,False
C000137,U0036,A029,2025-11-23 00:00:00.000000,Relationship,audio,13,0.0,completed,4.0,True
C000138,U0036,A002,2026-04-15 11:24:58.841664,Relationship,audio,13,292.0,completed,3.0,False
C000139,U0037,A005,2025-07-16 00:00:00.000000,Career,chat,12,0.0,completed,4.0,True
C000140,U0037,A014,2025-07-17 06:42:45.606883,Career,chat,7,157.0,completed,4.0,False
C000141,U0038,A015,2025-10-07 00:00:00.000000,Family,chat,6,0.0,completed,5.0,True
C000142,U0038,A027,2026-01-12 05:13:38.412634,Relationship,audio,13,239.0,completed,4.0,False
C000143,U0038,A007,2026-04-21 05:07:34.292919,Relationship,chat,16,416.0,completed,3.0,False
C000144,U0038,A027,2026-06-09 11:22:15.603755,Relationship,video,14,267.0,completed,4.0,False
C000145,U0038,A007,2026-08-05 06:41:13.283454,Relationship,audio,10,270.0,completed,3.0,False
C000146,U0039,A005,2025-08-12 00:00:00.000000,Family,audio,18,0.0,completed,5.0,True
C000147,U0040,A011,2025-08-14 00:00:00.000000,Career,chat,3,0.0,completed,3.0,True
C000148,U0041,A020,2026-01-27 00:00:00.000000,Relationship,video,23,0.0,completed,4.0,True
C000149,U0042,A014,2025-11-28 00:00:00.000000,Health,audio,12,0.0,completed,4.0,True
C000150,U0042,A004,2025-12-29 12:50:03.419368,Relationship,chat,3,55.0,completed,5.0,False
C000151,U0042,A028,2026-02-20 15:04:33.353290,Career,chat,3,47.0,completed,3.0,False
C000152,U0042,A002,2026-07-07 23:31:04.557425,Career,chat,9,210.0,completed,2.0,False
C000153,U0043,A022,2025-08-19 00:00:00.000000,Relationship,audio,7,0.0,completed,4.0,True
C000154,U0044,A015,2026-03-28 00:00:00.000000,General Vedic,chat,11,0.0,completed,4.0,True
C000155,U0045,A003,2025-10-25 00:00:00.000000,Relationship,video,13,0.0,completed,3.0,True
C000156,U0045,A025,2025-11-06 13:17:32.442068,General Vedic,chat,10,255.0,completed,2.0,False
C000157,U0045,A017,2025-11-07 13:17:32.442068,General Vedic,chat,7,160.0,completed,4.0,False
C000158,U0045,A010,2025-11-16 15:29:51.907887,General Vedic,audio,11,105.0,completed,4.0,False
C000159,U0045,A027,2025-11-24 01:25:09.697718,General Vedic,chat,10,194.0,completed,3.0,False
C000160,U0045,A027,2025-12-24 09:09:29.378041,Health,chat,11,218.0,completed,3.0,False
C000161,U0045,A001,2026-01-03 08:18:08.213442,General Vedic,video,14,392.0,completed,3.0,False
C000162,U0045,A027,2026-01-22 16:50:46.975374,Family,chat,16,328.0,completed,4.0,False
C000163,U0045,A021,2026-01-23 16:50:46.975374,Marriage,audio,12,306.0,completed,4.0,False
C000164,U0045,A027,2026-02-03 18:25:41.177222,General Vedic,video,19,404.0,completed,3.0,False
C000165,U0045,A027,2026-02-26 23:42:13.657193,Marriage,chat,20,432.0,completed,4.0,False
C000166,U0045,A027,2026-03-20 11:44:56.255068,General Vedic,chat,10,220.0,completed,4.0,False
C000167,U0045,A027,2026-04-02 23:37:52.193822,General Vedic,chat,3,67.0,completed,2.0,False
C000168,U0045,A026,2026-04-20 06:04:28.561636,Health,audio,17,257.0,failed,,False
C000169,U0045,A027,2026-04-28 03:52:00.060088,Finance,chat,16,369.0,completed,3.0,False
C000170,U0045,A004,2026-05-14 22:11:13.213471,Relationship,video,13,304.0,completed,5.0,False
C000171,U0045,A010,2026-05-21 01:55:54.034776,General Vedic,chat,6,71.0,completed,4.0,False
C000172,U0045,A008,2026-05-24 01:22:25.926470,Finance,chat,13,261.0,completed,5.0,False
C000173,U0045,A027,2026-06-14 04:18:40.131485,Marriage,audio,9,220.0,completed,4.0,False
C000174,U0045,A027,2026-07-15 23:33:03.767257,General Vedic,audio,3,75.0,completed,4.0,False
C000175,U0045,A027,2026-08-03 10:55:19.191407,General Vedic,chat,6,151.0,completed,3.0,False
C000176,U0046,A023,2026-05-14 00:00:00.000000,Family,chat,3,0.0,completed,5.0,True
C000177,U0046,A022,2026-06-15 00:29:43.717858,Family,chat,9,230.0,completed,4.0,False
C000178,U0046,A003,2026-07-21 10:38:20.486958,General Vedic,chat,9,234.0,completed,3.0,False
C000179,U0047,A024,2025-09-11 00:00:00.000000,Career,audio,12,0.0,completed,4.0,True
C000180,U0048,A004,2025-12-28 00:00:00.000000,Career,chat,11,0.0,completed,5.0,True
C000181,U0048,A010,2025-12-29 00:00:00.000000,Marriage,chat,11,101.0,completed,4.0,False
C000182,U0048,A002,2026-08-02 11:18:39.014632,Career,chat,9,206.0,completed,3.0,False
C000183,U0049,A012,2026-04-27 00:00:00.000000,Relationship,video,12,0.0,completed,4.0,True
C000184,U0049,A030,2026-06-06 05:47:40.743378,Finance,audio,12,220.0,completed,4.0,False
C000185,U0049,A015,2026-06-24 13:39:51.004223,Health,chat,5,114.0,dropped,,False
C000186,U0049,A012,2026-08-12 00:09:30.093071,Relationship,chat,14,223.0,completed,4.0,False
C000187,U0050,A009,2026-01-27 00:00:00.000000,Relationship,chat,6,0.0,completed,3.0,True
C000188,U0051,A023,2025-11-04 00:00:00.000000,Finance,video,14,0.0,completed,4.0,True
C000189,U0051,A008,2025-11-05 00:00:00.000000,Career,chat,13,199.0,completed,4.0,False
C000190,U0051,A027,2025-11-14 08:12:14.745019,General Vedic,video,11,206.0,completed,4.0,False
C000191,U0051,A029,2025-11-16 13:51:57.819122,Marriage,video,10,95.0,completed,4.0,False
C000192,U0051,A003,2025-12-17 22:48:29.798277,Marriage,video,12,324.0,completed,4.0,False
C000193,U0051,A003,2026-01-08 05:38:45.135524,Marriage,chat,8,220.0,completed,3.0,False
C000194,U0051,A003,2026-02-05 16:07:58.071347,Marriage,chat,8,224.0,completed,4.0,False
C000195,U0051,A027,2026-02-06 16:07:58.071347,Marriage,chat,10,205.0,completed,4.0,False
C000196,U0051,A023,2026-02-07 16:07:58.071347,General Vedic,chat,6,125.0,completed,5.0,False
C000197,U0051,A023,2026-03-17 09:45:36.175618,Marriage,chat,7,149.0,completed,4.0,False
C000198,U0051,A003,2026-03-18 18:19:14.515008,Marriage,audio,10,300.0,completed,2.0,False
C000199,U0051,A003,2026-03-23 02:25:52.591442,Finance,chat,9,274.0,completed,2.0,False
C000200,U0051,A003,2026-04-13 19:35:00.211259,Finance,chat,3,93.0,completed,3.0,False
C000201,U0051,A003,2026-04-14 19:35:00.211259,Finance,audio,15,472.0,completed,3.0,False
C000202,U0051,A003,2026-04-27 03:41:43.029175,Marriage,audio,15,480.0,completed,4.0,False
C000203,U0051,A003,2026-05-16 22:22:03.393417,Career,video,11,358.0,completed,4.0,False
C000204,U0051,A003,2026-06-04 01:55:09.112743,Marriage,chat,15,495.0,completed,4.0,False
C000205,U0051,A003,2026-06-27 06:15:47.245503,Marriage,video,12,402.0,completed,3.0,False
C000206,U0051,A003,2026-07-01 07:08:03.782919,Marriage,chat,15,510.0,completed,3.0,False
C000207,U0051,A003,2026-07-13 12:49:58.586532,Marriage,chat,7,241.0,completed,4.0,False
C000208,U0051,A003,2026-08-06 23:27:19.981159,Marriage,video,13,455.0,completed,3.0,False
C000209,U0052,A018,2025-08-09 00:00:00.000000,Marriage,chat,13,0.0,completed,4.0,True
C000210,U0052,A017,2025-09-11 11:17:50.733780,Marriage,chat,11,247.0,completed,4.0,False
C000211,U0052,A017,2025-10-01 01:23:49.330086,Marriage,chat,3,69.0,completed,5.0,False
C000212,U0052,A017,2025-10-24 11:05:04.539515,Marriage,chat,4,93.0,completed,4.0,False
C000213,U0052,A017,2025-10-31 18:19:16.073848,Career,chat,3,71.0,completed,4.0,False
C000214,U0052,A017,2025-11-22 05:01:32.856195,Marriage,chat,12,290.0,completed,3.0,False
C000215,U0052,A017,2025-12-17 04:17:55.364607,Marriage,video,11,271.0,completed,4.0,False
C000216,U0053,A012,2026-05-27 00:00:00.000000,Family,audio,6,0.0,completed,3.0,True
C000217,U0053,A020,2026-06-10 13:16:07.267735,Family,chat,8,147.0,completed,5.0,False
C000218,U0053,A020,2026-07-08 09:15:17.961526,Family,chat,3,56.0,completed,4.0,False
C000219,U0054,A017,2026-03-11 00:00:00.000000,Career,audio,14,0.0,completed,3.0,True
C000220,U0054,A006,2026-03-16 19:03:15.115556,Career,chat,13,159.0,completed,4.0,False
C000221,U0054,A029,2026-04-23 10:23:59.796642,Career,chat,10,94.0,completed,4.0,False
C000222,U0054,A005,2026-04-30 01:25:01.585281,Career,chat,3,70.0,completed,4.0,False
C000223,U0054,A018,2026-05-24 05:20:33.747751,Career,video,19,185.0,completed,4.0,False
C000224,U0054,A024,2026-06-04 07:31:31.343749,Career,audio,9,178.0,completed,3.0,False
C000225,U0054,A029,2026-06-20 14:04:47.024888,Career,audio,8,81.0,completed,3.0,False
C000226,U0054,A029,2026-07-27 12:41:33.587196,Career,audio,10,103.0,completed,4.0,False
C000227,U0054,A029,2026-08-13 10:12:39.700614,Marriage,audio,9,94.0,completed,4.0,False
C000228,U0055,A014,2025-12-06 00:00:00.000000,General Vedic,video,12,0.0,completed,3.0,True
C000229,U0055,A018,2026-04-05 14:39:22.811474,General Vedic,chat,6,55.0,completed,3.0,False
C000230,U0055,A013,2026-06-20 17:07:55.663629,General Vedic,chat,7,66.0,completed,2.0,False
C000231,U0056,A005,2026-05-21 00:00:00.000000,Health,chat,12,0.0,completed,4.0,True
C000232,U0056,A005,2026-06-01 16:36:22.397095,Health,chat,17,381.0,completed,4.0,False
C000233,U0056,A005,2026-06-07 06:52:03.085798,Health,audio,9,206.0,completed,4.0,False
C000234,U0056,A005,2026-06-12 01:17:05.325309,Health,audio,18,420.0,completed,4.0,False
C000235,U0056,A005,2026-06-24 12:06:31.194899,Health,audio,15,356.0,completed,4.0,False
C000236,U0056,A005,2026-06-29 20:12:33.355803,Health,chat,8,194.0,completed,4.0,False
C000237,U0056,A005,2026-07-06 16:01:59.539838,General Vedic,audio,8,197.0,failed,,False
C000238,U0056,A005,2026-07-21 20:03:29.079815,Health,chat,6,150.0,completed,3.0,False
C000239,U0056,A014,2026-08-03 19:59:41.652738,Health,chat,7,179.0,completed,5.0,False
C000240,U0056,A005,2026-08-09 23:31:14.737881,Health,video,24,623.0,completed,4.0,False
C000241,U0057,A015,2026-05-20 00:00:00.000000,Finance,audio,12,0.0,completed,4.0,True
C000242,U0057,A022,2026-07-06 03:48:46.086250,Finance,audio,16,408.0,completed,3.0,False
C000243,U0057,A017,2026-08-01 09:53:07.863251,Health,audio,4,92.0,completed,4.0,False
C000244,U0058,A024,2026-03-25 00:00:00.000000,Marriage,audio,9,0.0,completed,5.0,True
C000245,U0059,A012,2025-10-12 00:00:00.000000,Finance,audio,17,0.0,completed,4.0,True
C000246,U0059,A008,2025-12-01 14:35:29.957796,Relationship,chat,18,275.0,completed,5.0,False
C000247,U0059,A008,2026-02-18 03:11:34.741068,Relationship,chat,13,203.0,completed,5.0,False
C000248,U0059,A025,2026-05-02 13:22:11.534267,Finance,audio,9,238.0,completed,4.0,False
C000249,U0059,A014,2026-06-23 17:09:36.845612,Finance,chat,11,261.0,completed,4.0,False
C000250,U0059,A008,2026-07-01 06:17:49.959513,Relationship,chat,11,182.0,completed,4.0,False
C000251,U0059,A006,2026-07-15 05:55:31.135533,Finance,audio,6,81.0,completed,5.0,False
C000252,U0060,A017,2025-10-07 00:00:00.000000,Career,chat,16,0.0,completed,3.0,True
C000253,U0060,A016,2025-10-18 04:55:23.872153,Career,chat,6,153.0,completed,4.0,False
C000254,U0060,A019,2025-10-20 18:48:22.887846,Career,video,10,229.0,completed,4.0,False
C000255,U0060,A019,2025-11-25 11:59:05.597169,Family,video,5,117.0,completed,3.0,False
C000256,U0060,A019,2025-11-29 09:37:26.773155,Career,audio,13,309.0,dropped,,False
C000257,U0060,A019,2025-12-26 19:27:35.723889,Career,audio,3,73.0,completed,3.0,False
C000258,U0060,A020,2025-12-29 13:37:16.874249,Career,audio,20,403.0,completed,3.0,False
C000259,U0060,A019,2026-01-10 18:58:18.287285,Career,audio,8,201.0,completed,3.0,False
C000260,U0060,A019,2026-01-20 21:06:22.174203,Marriage,audio,11,281.0,completed,4.0,False
C000261,U0060,A019,2026-02-07 04:20:54.836936,Career,audio,26,675.0,completed,4.0,False
C000262,U0060,A019,2026-02-08 04:20:54.836936,Career,chat,4,106.0,completed,3.0,False
C000263,U0060,A019,2026-02-23 07:53:35.578555,Career,audio,4,107.0,completed,3.0,False
C000264,U0060,A001,2026-03-11 12:59:55.541335,Marriage,chat,13,403.0,completed,3.0,False
C000265,U0060,A028,2026-03-30 03:55:28.673261,Career,chat,14,265.0,completed,4.0,False
C000266,U0060,A019,2026-04-25 09:11:17.226108,Career,audio,4,113.0,completed,3.0,False
C000267,U0060,A019,2026-04-26 09:11:17.226108,Career,audio,4,114.0,completed,4.0,False
C000268,U0060,A006,2026-05-03 21:51:35.194878,Marriage,audio,20,317.0,completed,3.0,False
C000269,U0060,A019,2026-06-17 17:57:36.518218,Career,chat,7,206.0,completed,3.0,False
C000270,U0060,A019,2026-07-15 05:59:23.152540,Career,chat,7,209.0,completed,2.0,False
C000271,U0060,A015,2026-08-06 21:48:50.313587,Finance,audio,17,516.0,completed,4.0,False
C000272,U0061,A027,2025-10-12 00:00:00.000000,Career,chat,5,0.0,dropped,,True
C000273,U0061,A023,2026-01-20 00:54:47.824602,Family,chat,9,165.0,completed,4.0,False
C000274,U0061,A023,2026-03-18 07:35:48.168700,Relationship,chat,14,262.0,completed,4.0,False
C000275,U0062,A024,2026-01-27 00:00:00.000000,Relationship,audio,5,0.0,completed,4.0,True
C000276,U0062,A027,2026-02-04 09:40:49.450978,Finance,chat,10,184.0,completed,3.0,False
C000277,U0062,A001,2026-02-19 19:55:26.793334,Relationship,audio,8,208.0,completed,2.0,False
C000278,U0062,A001,2026-03-17 12:17:21.183379,Marriage,video,6,159.0,dropped,,False
C000279,U0062,A001,2026-04-04 09:57:58.909788,Relationship,chat,13,351.0,completed,4.0,False
C000280,U0062,A001,2026-04-05 09:57:58.909788,Career,video,10,275.0,completed,3.0,False
C000281,U0062,A001,2026-04-24 12:54:17.895143,Relationship,video,14,392.0,completed,2.0,False
C000282,U0062,A001,2026-06-10 13:29:17.592700,Health,chat,6,171.0,completed,4.0,False
C000283,U0062,A020,2026-06-23 03:28:05.176556,Relationship,audio,10,209.0,completed,2.0,False
C000284,U0062,A001,2026-07-25 19:36:43.017149,Relationship,chat,17,502.0,completed,3.0,False
